category,Title ,Base_Reviews
sadness,Don't work.,"I am crying . Bought and paid the app.and don't work on my Kindle fire HD 10.From some time the app shows invalid file when trying to open almost any PDF, I used to love the app and reinstalled hoping they fixed the problem, but still it doesn't work"
anger,Never used it,"downloaded and deleted because I faces problem in the dificult  layout. And also I got problem like this "" invalid file when trying to open"". Can you please fix this. Bothering me bro"
sadness,Now it doesn't work,"From some time the app shows invalid file when trying to open almost any PDF, I used to love the app and reinstalled hoping they fixed the problem, it doesn't work"
disgust,Not Worth the Downloaded Space,You can only make calls to users of this app.I couldn't even sign up it just exited out and said the app foreclosed did it three times so I uninstalled and got a better texting app that lets me create a account. And I'm on my kindle fire HD. I donÕt like this app.
anger,not comfortable  ,this is bothering me.i cant make a call on wifi.Also I wish only needed Wi-Fi to call not text.
anger,not bad ,weasting my time .I wish you could call any amount of times without watching any adds. Also  I wish only needed Wi-Fi to call not text.
anger,not working bro,"Takes some figuring out, but its free.I HATE THE APP U HAVE TO GET CREDITS FOR STUPID OFFERS THAT DOSENT WORK ITS A WASTE OF TIME "
disgust,Needs more calls,donÕt like this type of app. Run out of calls quick and its impossible to get more without paying
disgust,Two Stars,Didn't work for me.Run out of calls quick and its impossible to get more without paying
fear,Can't. Use,"I was unable to figure out how to use, I think I will not use this app ."
sadness,sad ,Fun way to connect with my granddaughter. And I was unable to figure out how to use. I am sad for it .
sadness,doesnÕt work for me need wifi to  call ,Awesomesauce when you have wifi but not working on data . And also I was unable to figure out how to use. 
disgust,OFF Max4,I donÕt like this app  . not easy to use.I was unable to make the simplest edit to my PDF
fear,Useless application.,Useless. I was unable to make the simplest edit to my PDF. Wish I could get my money back but Amazon makes it impossible.
sadness,Try it.,You should try it.Every time I tried to open it it would crash then tell me an unknown error occurred
fear,Did not work at all on my fire hdx,I installed this app and that's as far as I got. Every time I tried to open it it would crash then tell me an unknown error occurred. Uninstalled and reinstalled a few times but never got it to even open.  Can't say if I liked it or not because I never got to try it.
anger,Hate it,They are big liars and stink.Every time I tried to open it it would crash then tell me an unknown error occurred
sadness,not helpful,"Report abuse.the app crashes repeatedly. When I tried to us it the first time offline, it tried to connect to  some remote server and failed with a crash which required hard reboot.  I de-installed it."
sadness,Program requires full time internet access. When I tried ...,"Program requires full time internet access.  When I tried to us it the first time offline, it tried to connect to  some remote server and failed with a crash which required hard reboot.  "
disgust,Two Stars,Difficult to use layout is so dificult . I donÕt like
sadness,Couldn't Use,"I am crying . Couldn't use or even uninstall, so obviously not happy. Also Difficult to use layout is so dificult "
anger,Two Stars,this app make me anger .went back to adobe because Difficult to use layout is so dificult É
fear,Three Stars,"Found it difficult to use, and I think I can't make an account"
anger,not working app,i use this quite often. We need the update verion because save buttton is not working. And also the layout is bothering me.
fear,Learning about God's love,"We need the update verion because save buttton is not working. If you didnÕt update the app , t think I cant use it in the future."
disgust,I donÕt like ,I donÕt like . Don't use  because save buttton is not working
fear,please update , We need the update verion because save buttton is not working. I will not use it again.
disgust,stupid app,very expernsve to use and also  We need the update verion because save buttton is not working. I donÕt like this 
sadness,This is a ripoff. And shame on Amazon for not allowing a refund. Crying,"Don't buy this product.i am crying . I purchased it for my Amazon Kindle Fire which i recently acquired. I saw the reviews and was impressed but I failed to see the dates of the review. I downloaded the product and it does not work on my Kindle Fire (nowhere did it say it was incompatible). I have reached out to the vendor but guess what? It does not exist anymore.To add insult to injury, I have tried to seek a refund from Amazon but its automated system will not allow it. So it seems I have been taken for a ride by the unscrupulous and now non-existent vendor and by Amazon who is still selling a product without any support whatsoever or response from the vendor. Shame on Amazon"
