Reviewer_Name,Stars,title,review,Unnamed: 4,Unnamed: 5,Unnamed: 6,Sentiment
Manuel Quilichini,1.0 out of 5 stars,This is a ripoff. And shame on Amazon for not allowing a refund,"Don't buy this product. I purchased it for my Amazon Kindle Fire which i recently acquired. I saw the reviews and was impressed but I failed to see the dates of the review. I downloaded the product and it does not work on my Kindle Fire (nowhere did it say it was incompatible). I have reached out to the vendor but guess what? It does not exist anymore.To add insult to injury, I have tried to seek a refund from Amazon but its automated system will not allow it. So it seems I have been taken for a ride by the unscrupulous and now non-existent vendor and by Amazon who is still selling a product without any support whatsoever or response from the vendor. Shame on Amazon!!!!",,,,negative
M Black,1.0 out of 5 stars,PDF Max Pro doesn't play well with marshmallow,"Get an ""invalid file"" error since Marshmallow.",,,,negative
John,1.0 out of 5 stars,Not working,"Unfortunately, I had a terrible experience with this app because the save button is not working. I spent hours working on my project, and when I tried to save it, nothing happened. I even tried restarting the app, but the problem persisted. This issue needs to be addressed ASAP.",,,,negative
Dale Hoch,1.0 out of 5 stars,Doesn't Work At All,"Wow...Â  PDF Files are ""invalid"" and cannot be opened by a PDF App?Â  I mean, what is the point of this?Â  Simply total waste of time that ends here: goodbye!",,,,negative
Joshua,1.0 out of 5 stars,I got a new tablet with Marshmallow. Apparently the ...,"I got a new tablet with Marshmallow.Â  Apparently the app has been abandoned, because I get ""invalid file"" every time I try to read a file into the app.Â  This is not just a tablet problem, because I just checked my phone that has Marshmallow, and that also gives the same message.",,,,negative
ABuyer,1.0 out of 5 stars,"Do you update to 4.6.4, it's broken!","It used to be good, but the latest update 4.6.4 is completely broken. It deson't open PDF on Android 6 (Marshmallow) or 7 (Nogat). Who knows what system the developer has tested on before the release. Mobeera, please update the fix ASAP before everyone switches to other apps!",,,,negative
Robert,1.0 out of 5 stars,Terrible terrible,"I tried my best to give a benefit of a doubt. But at the end I gave up. I was studying a pdf file, high lighting, underlining, commenting, making notes etc. to my surprise it started to crash on the 9, out of the 10 pages document. Before this happened the text I wrote on it kept on freezing I had to wait for the tablet to respond after 40 second or so. The worst part is that if you want to open this document using Adobe reader the only thing that is saved are the high lights and the comments. I cleaned the tablet (galaxy tab 3 8 note) from the junk, the memory and killed background tasks, I uninstalled/installed but that didn't help either Arrrghh! to think that I spent 2 hours in this so important document only to re-studying again.",,,,negative
Mr. Smith,1.0 out of 5 stars,Crashes the system - will not start,This program listed it would work on my kindle - but it did not. It will not start up and crashes the system... and unfortunately No refunds. Just make sure it works on your system.,,,,negative
Miguel,1.0 out of 5 stars,Crashes and invalid,"App doesn't work. It hasn't for the longest time, over 12 months. Not maintained by developer and no response to crash reports. Invalid email and no WEB SITE. I'm on Android 8.0 Oreo on HTC 10 unlocked. Been over 12 months I tried, gave it a chance with new update to OS.. no luck, it still sucks. UNINSTALL ASAP",,,,negative
Tony C.,1.0 out of 5 stars,Total Piece of Crap that Doesn't Even Work - It's a total Ripoff!,I gave Amazon $4.00 for it and it crashes every time I try and edit a pdf file. I blame Amazon for even having this in the store. This was on the Kindle Fire Platform.,,,,negative
Mary in Minneapolis,1.0 out of 5 stars,Warning!!! Will not open on Kindle Fire,Continuously crashes. Cannot open even after restarts. No way to receive refund.,,,,negative
JG,1.0 out of 5 stars,No Longer Works :(,"Like others, I began receiving the ""invalid file!"" message when attempting to open any pdf file with PDF Max Pro after upgrading to Marshmallow. I recently upgraded to Nougat and sadly the issue persists. What was once a very useful app now serves no purpose whatsoever. I guess I finally need to give up hope and uninstall it. Time of death March 4, 2017 11:39.",,,,negative
Bonnie,1.0 out of 5 stars,Refund my account.....,"Bought for my kindle fire 10. Will not open. Would like a refund for $4.23, please. I had this on my kindle fire 7, it worked great. But not on kindle fire 10!!!!!!!!!",,,,negative
Wesley,1.0 out of 5 stars,Don't work.,Bought and paid for and don't work on my Kindle fire HD 10.,,,,negative
MrSoul,1.0 out of 5 stars,Doesn't work on Kindle Fire 10,Never opens and will not open any pdfs.Â  Waste of money.Â  Please remove this app from the AppStore!,,,,negative
Ron Matthews,1.0 out of 5 stars,Worst app I've ever bought!,It is impossible to use this app. There seems to be no way to navigate to where my documents are. A total scan and waste of money!,,,,negative
eyeloot,5.0 out of 5 stars,The best Android PDF reader I have found,After struggling with several Android PDF viewer apps I have finally found one that loads quickly and easily scrolls through documents. I guess I was lucky when I used iOS to find something. It seemed even highly rated apps had problems opening and scrolling through simple documents. This one has no problems opening any document I throw at it. Thanks Mobeera.,,,,negative
Yara,4.0 out of 5 stars,Great but it crashes often,"I love the app. However, it does crash on me many times. If you do not save as you edit your pdf files, you can lose your work. I would give it 5 stars if it didn't crash on me most of the time. I still use it because most of my professors post their notes online as pdf files. I find it easier to write notes on my tablet without having to carry many sheets of paper around.",,,,negative
